,From Highway #,To Location,Percentage Axle Weight
0,1,Cluny (SH 842),100
1,1,Gleichen,100
2,2,Berwyn,100
3,2,Blackfalds (SH 597),100
4,2,Bluesky,100
5,2,Canyon Creek,100
6,2,Carstairs (SH 581),100
7,2,Colinton (SH 663),100
8,2,Didsbury (SH 582),100
9,2,Donnelly,100
10,2,Enilda,100
11,2,Faust,100
12,2,Granum (SH 519),100
13,2,Joussard,100
14,2,Kinuso,100
15,2,Legal (SH 651),100
16,2,Rochester (SH 661),100
17,2,Vimy,100
18,2,Wembley,100
19,2,Whitelaw,100
20,2,Widewater,100
21,2,Woking (SH 677),100
22,3,Kipp,100
23,9,Beiseker,100
24,9,Craigmyle,100
25,9,Delia (SH 851),100
26,9,Irricana,100
27,11,Benalto,100
28,11,Eckville (SH 766),100
29,11,Leslieville (SH 761),100
30,12,Clive,75
31,12,Tees,100
32,12,Cadogan,100
33,12,Gwynne,100
34,12,Hughenden,100
35,12,Metiskow,100
36,12,Sedgewick,100
37,14,Edgerton (SH 894),100
38,14,Sherwood Park (SH 630),100
39,15,Minburn,100
40,15,Ranfurly,100
41,16,Evansburg,100
42,16,Hinton/Jasper Airport,100
43,16,Islay (SH 893),100
44,16,Kitscoty (SH 897),100
45,17,Chauvin (SH 610),100
46,20,Bluffton,100
47,20,Winfield,100
48,21,Bashaw,100
49,21,Carbon (SH 575),100
50,21,Delburne,100
51,21,Elnora,100
52,21,Hay Lakes,100
53,21,Huxley,100
54,21,Lousana,100
55,21,New Sarepta,100
56,21,Rockyford,100
57,21,Swalwell,75
58,22,Rocky Rapids,100
59,23,Blackie (SH 799),100
60,23,Carmangay,100
61,23,Nobleford (SH 519),100
62,27,Morrin,100
63,27,Ashmont,100
64,27,Bellis,100
65,27,Bonnyville Beach,100
66,27,Glendon (SH 882),100
67,27,Mallaig,100
68,27,Radway,100
69,27,Smoky Lake,100
70,27,St. Edouard,100
71,27,Vilna,100
72,27,Warspite,100
73,27,Waskatenau (SH 631),100
74,32,Peers,100
75,33,Fort Assiniboine (SH 661),100
76,34,DeBolt,100
77,35,Dixonville (SH 689),100
78,35,High Level Airport,100
79,36,Alliance (SH 602),100
80,36,Galahad,100
81,36,Kikino,100
82,36,Scandia,100
83,39,Thorsby (SH 778),100
84,41,Acadia Valley,100
85,41,Czar,100
86,41,Empress,100
87,41,Hilda,100
88,41,New Brigden,100
89,41,Schuler,100
90,43,Blue Ridge (SH 658),100
91,43,Onoway,100
92,43,Rochfort Bridge,100
93,44,Dapp (SH 661),100
94,44,Fawcett,100
95,44,Flatbush,75
96,44,Jarvie,100
97,44,Pibroch,100
98,44,Andrew (SH 855),100
99,44,Clandonald,100
100,44,Derwent,100
101,44,Dewberry,100
102,44,Hairy Hill,100
103,47,Robb,100
104,49,Eaglesham (SH 739),100
105,49,Girouxville (SH 744),100
106,49,Spirit River,100
107,49,Tangent (SH 740),100
108,53,Alberta Hospital,100
109,54,Dickson (SH 766),100
110,55,Plamondon (SH 858),100
111,55,Rich Lake,100
112,56,Big Valley (SH 661),100
113,56,Rowley,100
114,61,Wrentham,100
115,63,Boyle,100
116,63,Newbrook (SH 661),100
117,69,Fort McMurray Airport,100
118,88,Fort Vermillion,100
